team,season,budget,points ,games
HIFK,2019-2020,3300000,103,59
karpat,2019-2020,3000000,127,59
Tappara,2019-2020,2850000,119,60
Lukko,2019-2020,2500000,118,59
TPS,2019-2020,2400000,69,59
Ilves,2019-2020,2200000,114,59
Kalpa,2019-2020,2200000,75,59
JYP,2019-2020,2150000,91,59
Saipa,2019-2020,1900000,66,59
Assat,2019-2020,1900000,76,59
Pelicans,2019-2020,1900000,54,59
HPK,2019-2020,1750000,102,59
KooKoo,2019-2020,1700000,110,59
Sport ,2019-2020,1600000,49,59
Jukurit,2019-2020,1500000,56,59
HIFK,2018-2019,3250000,98,60
karpat,2018-2019,3000000,137,60
Tappara,2018-2019,2750000,108,60
Lukko,2018-2019,2600000,96,60
TPS,2018-2019,2250000,103,60
Ilves,2018-2019,2000000,91,60
Kalpa,2018-2019,1900000,76,60
JYP,2018-2019,2650000,82,60
Saipa,2018-2019,2000000,88,60
Assat,2018-2019,1900000,47,60
Pelicans,2018-2019,1700000,104,60
HPK,2018-2019,1750000,99,60
KooKoo,2018-2019,1700000,73,60
Sport ,2018-2019,1500000,81,60
Jukurit,2018-2019,1500000,67,60
HIFK,2017-2018,3200000,103,60
karpat,2017-2018,3000000,123,60
Tappara,2017-2018,2650000,110,60
Lukko,2017-2018,2600000,85,60
TPS,2017-2018,2200000,112,60
Ilves,2017-2018,1700000,81,60
Kalpa,2017-2018,1850000,99,60
JYP,2017-2018,2200000,108,60
Saipa,2017-2018,1800000,93,60
Assat,2017-2018,1800000,88,60
Pelicans,2017-2018,1700000,83,60
HPK,2017-2018,1600000,78,60
KooKoo,2017-2018,1600000,62,60
Sport ,2017-2018,1600000,58,60
Jukurit,2017-2018,1300000,67,60
HIFK,2016-2017,3200000,87,60
karpat,2016-2017,3000000,90,60
Tappara,2016-2017,2500000,127,60
Lukko,2016-2017,2700000,71,60
TPS,2016-2017,2200000,114,60
Ilves,2016-2017,1750000,82,60
Kalpa,2016-2017,1850000,112,60
JYP,2016-2017,2200000,111,60
Saipa,2016-2017,1600000,60,60
Assat,2016-2017,1700000,90,60
Pelicans,2016-2017,1750000,93,60
HPK,2016-2017,1600000,98,60
KooKoo,2016-2017,1600000,70,60
Sport ,2016-2017,1600000,69,60
Jukurit,2016-2017,1300000,76,60
HIFK,2015-2016,3200000,127,60
karpat,2015-2016,3000000,119,60
Tappara,2015-2016,2500000,110,60
Lukko,2015-2016,2700000,94,60
TPS,2015-2016,2300000,90,60
Ilves,2015-2016,1700000,63,60
Kalpa,2015-2016,1950000,90,60
JYP,2015-2016,2400000,106,60
Saipa,2015-2016,1800000,99,60
Assat,2015-2016,2050000,77,60
Pelicans,2015-2016,1800000,87,60
HPK,2015-2016,1600000,68,60
KooKoo,2015-2016,1400000,78,60
Sport ,2015-2016,1500000,83,60
Jukurit,2015-2016,,,
Blues,2015-2016,1550000,59,60
HIFK,2014-2015,3100000,96,60
karpat,2014-2015,3200000,115,60
Tappara,2014-2015,2650000,106,60
Lukko,2014-2015,2800000,103,60
TPS,2014-2015,2400000,65,60
Ilves,2014-2015,1800000,88,60
Kalpa,2014-2015,2260000,97,60
JYP,2014-2015,2500000,102,60
Saipa,2014-2015,1800000,94,60
Assat,2014-2015,2050000,90,60
Pelicans,2014-2015,2100000,68,60
HPK,2014-2015,1800000,76,60
KooKoo,2014-2015,,,
Sport ,2014-2015,1800000,60,60
Jukurit,2014-2015,,,
Blues,2014-2015,2140000,100,60
HIFK,2013-2014,3100000,88,60
karpat,2013-2014,3000000,131,60
Tappara,2013-2014,2500000,116,60
Lukko,2013-2014,2750000,101,60
TPS,2013-2014,1870000,59,60
Ilves,2013-2014,1550000,84,60
Kalpa,2013-2014,2400000,51,60
JYP,2013-2014,2500000,98,60
Saipa,2013-2014,1550000,100,60
Assat,2013-2014,2150000,67,60
Pelicans,2013-2014,2100000,92,60
HPK,2013-2014,1800000,87,60
KooKoo,2013-2014,,,
Sport ,2013-2014,,,
Jukurit,2013-2014,,,
Blues,2013-2014,2140000,93,60
Jokerit,2013-2014,3500000,93,60
HIFK,2012-2013,2900000,91,60
karpat,2012-2013,3000000,93,60
Tappara,2012-2013,2200000,108,60
Lukko,2012-2013,2600000,86,60
TPS,2012-2013,1800000,64,60
Ilves,2012-2013,1550000,57,60
Kalpa,2012-2013,2600000,97,60
JYP,2012-2013,2200000,103,60
Saipa,2012-2013,1350000,89,60
Assat,2012-2013,2150000,102,60
Pelicans,2012-2013,2300000,83,60
HPK,2012-2013,1700000,96,60
KooKoo,2012-2013,,,
Sport ,2012-2013,,,
Jukurit,2012-2013,,,
Blues,2012-2013,1870000,80,60
Jokerit,2012-2013,3500000,111,60
HIFK,2011-2012,2800000,111,60
karpat,2011-2012,2800000,99,60
Tappara,2011-2012,1850000,73,60
Lukko,2011-2012,2500000,81,60
TPS,2011-2012,1950000,78,60
Ilves,2011-2012,1630000,56,60
Kalpa,2011-2012,2450000,115,60
JYP,2011-2012,2300000,108,60
Saipa,2011-2012,1200000,77,60
Assat,2011-2012,1850000,106,60
Pelicans,2011-2012,2050000,111,60
HPK,2011-2012,1700000,62,60
KooKoo,2011-2012,,,
Sport ,2011-2012,,,
Jukurit,2011-2012,,,
Blues,2011-2012,1600000,82,60
Jokerit,2011-2012,2900000,101,60
HIFK,2010-2011,2700000,117,60
karpat,2010-2011,2800000,89,60
Tappara,2010-2011,1800000,71,60
Lukko,2010-2011,2500000,98,60
TPS,2010-2011,1710000,60,60
Ilves,2010-2011,1500000,81,60
Kalpa,2010-2011,2140000,98,60
JYP,2010-2011,2300000,129,60
Saipa,2010-2011,1550000,65,60
Assat,2010-2011,1700000,119,60
Pelicans,2010-2011,1700000,59,60
HPK,2010-2011,1720000,92,60
KooKoo,2010-2011,,,
Sport ,2010-2011,,,
Jukurit,2010-2011,,,
Blues,2010-2011,2100000,86,60
Jokerit,2010-2011,2600000,86,60
HIFK,2020-2021,2900000,19,13
karpat,2020-2021,3000000,17,10
Tappara,2020-2021,2800000,16,10
Lukko,2020-2021,2500000,27,11
TPS,2020-2021,2038782,15,11
Ilves,2020-2021,1900000,27,12
Kalpa,2020-2021,1730000,18,9
JYP,2020-2021,1750000,12,11
Saipa,2020-2021,1600000,13,12
Assat,2020-2021,1600000,15,12
Pelicans,2020-2021,1750000,18,11
HPK,2020-2021,1750000,11,12
KooKoo,2020-2021,1600000,18,11
Sport ,2020-2021,1600000,12,9
Jukurit,2020-2021,1400000,8,10
